#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A19B40
#Date Time: 2018-02-10 17:41::19.959

Time (s),Channel 1 (V),Channel 2 (V)
-0.0051200000000000004,0.013904618466506702,0.57942572202993003
-0.00511875,0.01489850105110014,0.57942572202993003
-0.0051174999999999997,0.015892383635694181,0.58009137083741558
-0.0051162500000000001,0.017217560415151489,0.58042419524115818
-0.0051149999999999998,0.018542737194609402,0.58042419524115818
-0.0051137500000000002,0.019867913974067314,0.58009137083741547
-0.0051124999999999999,0.023843444312441051,0.59140740056466767
-0.0051112500000000003,0.02781897465081298,0.61869900167155767
-0.00511,0.025168621091898963,0.6186990016715701
-0.0051087499999999996,0.02450603270217061,0.6183661772678275
-0.0051075000000000001,0.025831209481627926,0.6186990016715701
-0.0051062499999999997,0.027156386261086442,0.61803335286408467
-0.0051050000000000002,0.02848156304054375,0.61803335286408467
-0.0051037499999999998,0.029144151430272699,0.61803335286408467
-0.0051025000000000003,0.030800622404595093,0.61770052846034196
-0.0051012499999999999,0.032788387573781969,0.61803335286408467
-0.0051000000000000004,0.034444858548103592,0.61803335286408467
-0.00509875,0.035770035327562275,0.61836617726782739
-0.0050974999999999996,0.037426506301885105,0.61770052846034207
-0.0050962500000000001,0.038420388886478099,0.61803335286408467
-0.0050949999999999997,0.039414271471072432,0.61836617726782728
-0.0050937500000000002,0.041402036640258391,0.61803335286408467
-0.0050924999999999998,0.043058507614580785,0.61803335286408467
-0.0050912500000000003,0.049021803122138684,0.63933411470360868
-0.0050899999999999999,0.050346979901599309,0.65397838846829781
-0.0050887500000000004,0.048359214732413336,0.65397838846829781
-0.0050875,0.04968439151187036,0.6536455640645551
-0.0050862499999999996,0.051672156681058123,0.65331273966081227
-0.0050850000000000001,0.053659921850244097,0.65297991525706967
-0.0050837499999999997,0.054985098629702009,0.65297991525706967
-0.0050825000000000002,0.056641569604024403,0.65331273966081238
-0.0050812499999999998,0.058298040578346783,0.65331273966081238
-0.0050800000000000003,0.060285805747532756,0.65331273966081238
-0.0050787499999999999,0.061942276721856052,0.65297991525706967
-0.0050775000000000004,0.06426133608590634,0.65331273966081227
-0.00507625,0.066249101255094256,0.65264709085332695
-0.0050749999999999997,0.067905572229417552,0.65297991525706955
-0.0050737500000000001,0.069893337398603525,0.65264709085332695
-0.0050724999999999998,0.071549808372925919,0.65264709085332695
-0.0050712500000000002,0.073868867736977262,0.65264709085332695
-0.0050699999999999999,0.081157340023995786,0.68459823361262739
-0.0050687500000000003,0.080163457439402799,0.6865951800350828
-0.0050675,0.079832163244537874,0.68626235563134097
-0.0050662499999999996,0.082151222608590271,0.68626235563134097
-0.0050650000000000001,0.08447028197264056,0.68626235563134097
-0.0050637499999999997,0.086458047141828642,0.68626235563134108
-0.0050625000000000002,0.089108400700743259,0.68659518003508369
-0.0050612499999999998,0.091427460064794602,0.68626235563134097
-0.0050600000000000003,0.093083931039116996,0.6869280044388264
-0.0050587499999999999,0.095071696208303871,0.68626235563134097
-0.0050575000000000004,0.09739075557235416,0.68659518003508357
-0.00505625,0.09937852074154209,0.68626235563134097
-0.0050549999999999996,0.10202887430045927,0.68592953122759825
-0.0050537500000000001,0.10501052205423822,0.68592953122759825
-0.0050524999999999997,0.10699828722342614,0.68626235563134086
-0.0050512500000000002,0.10931734658747644,0.68592953122759825
-0.0050499999999999998,0.11428675951044362,0.69358449251368059
-0.0050487500000000003,0.11859358404367988,0.71688220077566001
-0.0050474999999999999,0.11793099565395287,0.71688220077567055
-0.0050462500000000004,0.11991876082313883,0.71654937637192795
-0.005045,0.12256911438205556,0.71588372756444241
-0.0050437499999999996,0.12488817374610828,0.71588372756444252
-0.0050425000000000001,0.12786982149988721,0.71621655196818512
-0.0050412499999999997,0.13018888086393857,0.71621655196818512
-0.0050400000000000002,0.13350182281258333,0.71555090316069969
-0.0050387499999999998,0.13615217637149918,0.71588372756444241
-0.0050375000000000003,0.13813994154068512,0.71621655196818501
-0.0050362499999999999,0.14112158929446633,0.71588372756444241
-0.0050350000000000004,0.14410323704824529,0.71621655196818501
