#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A19B40
#Date Time: 2018-04-03 10:52::58.188

Time (s),Channel 1 (V),Channel 2 (V)
-0.010240000000000001,1.0260083837774876,1.5419538976538567
-0.0102375,1.0266709721672165,1.542952370865085
-0.010234999999999999,1.0263396779723521,1.542952370865085
-0.0102325,1.0263396779723521,1.542952370865085
-0.01023,1.0263396779723521,1.542952370865085
-0.0102275,1.027002266362081,1.542952370865085
-0.010225,1.0266709721672165,1.5432851952688276
-0.010222500000000001,1.0266709721672165,1.5429523708650852
-0.01022,1.0273335605569456,1.5436180196725704
-0.010217499999999999,1.0283274431415392,1.5449493172875417
-0.010215,1.0289900315312679,1.5459477904987693
-0.010212499999999999,1.0283274431415392,1.5456149660950267
-0.01021,1.0289900315312679,1.5456149660950267
-0.0102075,1.0289900315312679,1.5459477904987693
-0.010205000000000001,1.0293213257261324,1.5466134393062547
-0.0102025,1.0289900315312679,1.5466134393062547
-0.010200000000000001,1.0293213257261322,1.5472790881137399
-0.0101975,1.0296526199209968,1.5479447369212256
-0.010194999999999999,1.0299839141158615,1.5479447369212258
-0.0101925,1.0303152083107259,1.548610385728711
-0.010189999999999999,1.0299839141158615,1.5489432101324538
-0.0101875,1.0303152083107259,1.5492760345361964
-0.010185,1.0306465025055902,1.549608858939939
-0.010182500000000001,1.0303152083107261,1.549608858939939
-0.01018,1.0313090908953193,1.5499416833436819
-0.010177500000000001,1.0316403850901834,1.5516058053623947
-0.010175,1.0319716792850482,1.5522714541698808
-0.010172499999999999,1.0323029734799127,1.5522714541698808
-0.01017,1.0323029734799127,1.5522714541698808
-0.010167499999999999,1.0323029734799127,1.5526042785736236
-0.010165,1.0323029734799127,1.5526042785736236
-0.0101625,1.0326342676747773,1.553269927381109
-0.010160000000000001,1.0329655618696414,1.553269927381109
-0.0101575,1.0332968560645062,1.553269927381109
-0.010155000000000001,1.0332968560645062,1.553269927381109
-0.0101525,1.0336281502593707,1.5539355761885945
-0.010149999999999999,1.0332968560645062,1.5539355761885945
-0.0101475,1.0332968560645062,1.5539355761885945
-0.010145,1.0336281502593707,1.5536027517848516
-0.0101425,1.0332968560645062,1.5546012249960799
-0.01014,1.0336281502593707,1.5542684005923371
-0.010137500000000001,1.0352846212336924,1.5536027517848519
-0.010135,1.035284621233693,1.5539355761885945
-0.010132499999999999,1.035284621233693,1.5536027517848519
-0.01013,1.035284621233693,1.5539355761885945
-0.010127499999999999,1.0352846212336932,1.5542684005923373
-0.010125,1.0356159154285576,1.5546012249960799
-0.0101225,1.0356159154285576,1.5546012249960799
-0.010120000000000001,1.0356159154285576,1.5539355761885945
-0.0101175,1.0356159154285576,1.5536027517848516
-0.010115000000000001,1.0359472096234217,1.5539355761885942
-0.0101125,1.0356159154285576,1.5539355761885945
-0.010109999999999999,1.0352846212336932,1.5539355761885945
-0.0101075,1.0359472096234219,1.5539355761885945
-0.010104999999999999,1.0356159154285578,1.5539355761885947
-0.0101025,1.0359472096234219,1.5542684005923371
-0.0101,1.0359472096234219,1.5539355761885945
-0.010097500000000001,1.0356159154285578,1.5526042785736243
-0.010095,1.0359472096234219,1.5529371029773662
-0.010092500000000001,1.0356159154285578,1.5529371029773662
-0.01009,1.0359472096234219,1.5526042785736236
-0.010087499999999999,1.0359472096234219,1.552937102977366
-0.010085,1.0359472096234219,1.5526042785736236
-0.010082499999999999,1.0362785038182865,1.5529371029773662
-0.01008,1.0362785038182865,1.5526042785736236
-0.0100775,1.0362785038182865,1.5489432101324536
-0.010075000000000001,1.0359472096234221,1.5486103857287112
-0.0100725,1.0359472096234219,1.5482775613249682
-0.010070000000000001,1.0359472096234219,1.5486103857287108
-0.0100675,1.036609798013151,1.548610385728711
-0.010064999999999999,1.0359472096234221,1.548610385728711
-0.0100625,1.0362785038182865,1.548610385728711
-0.010059999999999999,1.0362785038182865,1.5479447369212256
-0.0100575,1.036609798013151,1.5412882488463713
-0.010055,1.0372723864028799,1.5416210732501141
-0.010052500000000001,1.0369410922080156,1.5416210732501141
-0.01005,1.036609798013151,1.5419538976538567
-0.010047499999999999,1.0369410922080153,1.5416210732501139
-0.010045,1.0369410922080153,1.5412882488463713
-0.010042499999999999,1.0372723864028797,1.541953897653856
-0.01004,1.0369410922080153,1.5406226000388858
-0.0100375,1.0382662689874733,1.5309706923303472
-0.010035000000000001,1.0376036805977444,1.529972219119119
-0.0100325,1.0376036805977444,1.5306378679266044
-0.010030000000000001,1.0376036805977444,1.530970692330347
-0.0100275,1.0379349747926088,1.5306378679266044
-0.010024999999999999,1.0379349747926088,1.5306378679266046
-0.0100225,1.0379349747926088,1.5309706923303472
-0.010019999999999999,1.038266268987474,1.5289737459078847
-0.0100175,1.0395914457669313,1.5153279453544397
-0.010015,1.0385975631823379,1.5156607697581823
-0.010012500000000001,1.0389288573772022,1.5153279453544397
-0.01001,1.0392601515720667,1.5153279453544397
-0.010007500000000001,1.0392601515720667,1.5149951209506971
-0.010005,1.0392601515720667,1.5153279453544397
-0.010002499999999999,1.0395914457669313,1.5149951209506958
-0.01,1.0395914457669313,1.512665350124498
-0.0099974999999999994,1.0402540341566602,1.4970226031485905
-0.0099950000000000004,1.0402540341566602,1.4973554275523331
-0.0099924999999999996,1.0402540341566602,1.4973554275523331
-0.0099900000000000006,1.0402540341566602,1.4973554275523331
-0.0099874999999999999,1.0402540341566602,1.4976882519560759
-0.0099850000000000008,1.0402540341566602,1.4980210763598183
-0.0099825000000000001,1.0402540341566602,1.4973554275523331
